,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Cluster
283,0.74,1.28,1.36,0.66,1.26,2.48,3.18,2.83,1.28,2.64,Cluster 2
284,0.9,1.52,0.32,0.59,0.62,2.08,3.17,2.78,1.66,2.96,Cluster 0
285,0.51,1.44,0.26,0.48,0.34,0.82,3.18,2.86,1.73,2.88,Cluster 0
286,0.93,1.76,0.58,2.25,2.0,2.44,3.18,2.67,1.22,2.42,Cluster 2
287,0.77,1.96,0.93,0.61,0.66,1.6,3.18,2.67,3.14,2.8,Cluster 1
288,1.18,1.2,0.99,0.46,1.3,1.86,3.17,2.82,0.86,3.62,Cluster 1
289,0.96,1.32,0.56,0.42,0.98,2.06,3.17,2.82,1.18,3.3,Cluster 2
290,1.09,1.12,2.35,0.54,1.3,2.64,3.19,2.87,1.47,2.54,Cluster 2
291,1.09,1.16,0.35,0.41,0.66,1.34,3.17,2.72,1.41,3.14,Cluster 0
292,0.67,1.52,0.35,0.3,1.06,1.38,3.18,2.89,1.28,2.96,Cluster 0
293,0.77,0.76,0.8,0.49,0.46,1.34,3.18,3.26,1.82,2.66,Cluster 0
294,0.58,1.2,0.18,0.38,0.54,0.76,3.17,2.69,1.63,2.94,Cluster 0
295,0.67,0.84,0.82,1.11,0.56,1.4,3.18,2.73,1.47,2.56,Cluster 0
296,0.7,1.28,0.26,0.51,1.06,1.6,3.18,2.65,1.41,2.8,Cluster 0
297,0.77,1.16,1.62,0.57,0.56,1.4,3.18,2.78,1.12,2.54,Cluster 1
298,1.79,0.88,1.42,0.39,0.72,1.78,3.19,2.85,1.63,2.42,Cluster 1
299,0.8,1.92,0.35,0.48,0.74,2.18,3.19,2.83,1.89,2.58,Cluster 2
300,0.61,1.12,0.22,0.53,0.58,1.2,3.17,2.82,1.63,3.12,Cluster 0
301,0.42,1.16,2.22,0.64,0.88,1.26,3.19,2.82,1.25,2.5,Cluster 1
302,0.74,0.96,2.27,0.61,0.5,1.26,3.19,2.82,1.6,2.56,Cluster 1
303,0.61,1.4,0.27,0.41,0.88,1.34,3.18,2.86,1.73,2.88,Cluster 0
304,1.02,1.04,1.97,0.5,0.64,2.74,3.18,2.77,1.86,2.64,Cluster 2
305,0.83,1.64,0.35,0.56,0.78,1.48,3.18,2.63,1.41,2.66,Cluster 0
306,1.02,1.28,0.77,0.47,1.06,2.48,3.18,2.86,1.73,2.94,Cluster 2
307,0.7,1.48,2.43,0.58,1.82,2.38,3.2,3.02,2.72,2.48,Cluster 2
308,1.55,0.0,0.24,0.74,0.22,1.38,3.18,3.22,1.28,2.58,Cluster 0
309,0.51,1.2,2.19,0.64,0.88,2.24,3.19,2.58,1.41,2.32,Cluster 1
310,0.51,1.76,0.22,0.49,0.66,1.46,3.18,2.77,2.4,2.74,Cluster 0
311,0.54,1.52,0.24,0.37,0.74,1.5,3.18,2.89,1.76,3.04,Cluster 0
312,0.38,1.16,1.65,0.45,1.1,1.3,3.18,2.83,1.22,2.62,Cluster 1
313,0.77,1.48,1.19,0.49,1.58,2.5,3.18,2.85,1.6,2.5,Cluster 2
314,0.58,1.8,0.7,0.53,1.52,2.22,3.18,2.78,1.98,2.98,Cluster 2
315,1.09,0.76,0.93,0.47,0.58,1.94,3.18,2.8,2.02,2.64,Cluster 1
316,0.96,1.32,2.05,0.47,1.6,2.24,3.19,2.75,1.79,2.62,Cluster 2
317,0.67,1.28,0.14,0.43,1.02,1.62,3.17,2.88,1.47,2.82,Cluster 0
318,0.74,1.0,2.77,0.53,0.4,1.46,3.19,2.8,1.34,2.46,Cluster 1
319,0.93,1.2,0.18,0.25,0.54,1.46,3.16,2.97,1.22,3.42,Cluster 0
320,1.02,1.0,0.27,0.39,0.98,1.82,3.18,3.09,1.6,2.88,Cluster 0
321,1.09,1.0,0.77,0.43,0.42,1.62,3.18,2.98,2.27,3.36,Cluster 0
322,3.22,1.84,0.22,0.53,0.9,2.46,3.19,2.69,1.57,2.72,Cluster 2
323,0.48,1.16,0.21,0.33,0.26,0.86,3.18,2.98,1.25,2.7,Cluster 0
324,0.45,1.2,0.86,0.51,0.7,1.4,3.18,2.95,1.44,2.48,Cluster 0
325,0.96,0.88,1.63,0.56,1.52,2.54,3.19,2.74,1.28,2.48,Cluster 2
326,0.54,1.6,2.33,0.54,1.26,2.08,3.2,2.97,2.5,2.42,Cluster 1
327,0.86,1.72,1.2,0.56,1.74,3.24,3.18,2.78,1.5,2.4,Cluster 2
328,1.41,1.96,1.23,0.51,0.42,2.26,3.18,2.77,1.18,2.32,Cluster 2
329,0.8,1.16,1.2,0.56,1.02,2.1,3.19,3.05,1.22,2.56,Cluster 1
330,0.74,1.44,0.24,0.34,1.98,1.62,3.17,2.88,3.17,3.22,Cluster 0
331,0.67,1.36,1.9,0.45,1.46,1.86,3.18,2.69,0.99,2.74,Cluster 1
332,1.47,0.72,0.53,0.62,0.48,1.9,3.18,2.78,1.63,2.88,Cluster 0
333,0.7,0.76,0.18,0.73,0.96,2.54,3.18,2.71,1.6,2.54,Cluster 2
334,0.74,1.84,0.16,0.62,0.24,0.96,3.18,2.62,1.57,2.42,Cluster 0
335,0.74,1.08,1.57,0.63,1.98,1.78,3.18,2.81,1.28,2.72,Cluster 1
336,0.48,1.88,1.82,0.4,1.3,1.7,3.18,2.7,1.09,2.8,Cluster 1
337,0.38,1.32,0.46,0.5,0.56,0.98,3.17,2.82,1.02,3.44,Cluster 0
338,0.77,1.36,0.43,0.54,1.72,2.91,3.18,2.94,1.86,2.58,Cluster 2
339,1.57,1.28,0.83,0.49,0.48,1.38,3.18,2.88,1.44,2.86,Cluster 0
340,0.77,2.2,1.3,0.46,1.78,2.88,3.18,2.88,1.6,2.46,Cluster 2
341,0.64,1.52,1.89,0.63,1.36,2.26,3.2,2.97,2.62,2.38,Cluster 2
342,0.99,1.52,1.68,0.35,1.42,1.86,3.18,2.97,1.47,3.12,Cluster 1
343,1.25,1.24,2.3,0.49,0.74,2.16,3.2,2.82,1.73,2.42,Cluster 1
344,0.7,0.96,0.74,0.5,1.04,2.12,3.18,2.66,0.9,3.06,Cluster 2
345,0.58,1.2,0.16,0.35,0.62,0.98,3.17,2.87,1.66,3.02,Cluster 0
346,0.93,1.88,0.48,0.59,1.26,1.94,3.18,2.93,2.4,2.66,Cluster 2
347,0.54,1.32,0.96,0.41,0.8,1.48,3.18,2.95,1.86,2.7,Cluster 1
348,0.67,1.08,2.9,0.48,1.1,1.94,3.2,2.94,1.15,2.32,Cluster 1
349,0.8,1.12,2.3,0.63,1.46,2.74,3.19,2.78,1.22,2.4,Cluster 2
350,1.57,0.92,1.06,0.39,0.16,2.1,3.18,2.71,1.54,2.98,Cluster 1
351,0.99,1.12,0.24,0.42,0.32,1.58,3.18,2.95,1.63,2.78,Cluster 0
352,1.18,0.88,1.33,0.29,0.96,2.88,3.19,2.96,1.92,2.56,Cluster 2
353,0.58,0.88,0.88,0.42,0.26,1.14,3.18,3.07,1.41,3.26,Cluster 0
354,0.83,1.48,0.88,0.29,0.82,1.4,3.17,2.72,1.06,3.36,Cluster 0
355,0.86,1.04,0.56,0.81,0.7,0.92,3.17,2.75,1.22,3.06,Cluster 0
356,0.54,1.36,0.24,1.04,1.12,1.8,3.18,2.89,1.57,2.56,Cluster 0
357,1.09,1.36,2.02,0.55,0.18,0.54,3.18,2.83,1.28,3.12,Cluster 0
358,0.67,0.96,0.37,0.54,1.6,2.52,3.18,3.25,2.3,2.7,Cluster 2
359,1.76,1.2,1.3,0.3,0.38,0.94,3.18,2.62,1.15,3.14,Cluster 0
360,0.58,1.48,0.19,0.56,0.16,1.26,3.18,2.82,1.66,2.7,Cluster 0
361,1.09,1.6,1.3,0.53,1.82,2.26,3.18,2.8,1.6,2.54,Cluster 2
362,0.99,2.0,2.13,0.64,1.82,2.6,3.19,2.67,1.5,2.46,Cluster 2
363,0.83,1.16,0.16,0.37,0.72,1.28,3.17,3.01,1.41,3.28,Cluster 0
364,0.46,1.96,0.86,0.55,1.44,2.18,3.18,3.17,1.41,2.88,Cluster 2
365,1.12,2.12,1.62,0.61,0.98,2.02,3.19,2.73,1.28,2.5,Cluster 1
366,1.31,0.88,0.77,0.59,1.3,1.9,3.18,2.79,1.98,2.46,Cluster 1
367,0.74,1.0,0.22,0.56,1.14,1.88,3.18,3.04,1.73,2.72,Cluster 0
368,0.93,1.0,1.7,0.45,0.86,1.6,3.18,2.94,1.09,2.7,Cluster 1
369,0.58,1.2,0.19,0.53,1.3,2.66,3.18,2.7,1.22,2.48,Cluster 2
370,1.02,0.92,1.54,0.3,0.7,1.58,3.18,2.82,1.7,3.26,Cluster 1
371,0.35,1.36,2.25,0.46,1.1,1.52,3.19,2.73,1.89,2.94,Cluster 1
372,1.47,1.04,1.01,1.68,1.3,2.12,3.18,2.79,1.5,2.66,Cluster 2
373,1.79,1.04,1.74,0.69,1.46,2.58,3.19,2.86,1.41,2.5,Cluster 2
374,0.74,1.24,0.72,0.53,1.12,1.66,3.18,2.94,2.05,2.88,Cluster 1
375,0.9,1.84,2.46,0.67,0.86,2.36,3.2,2.9,1.86,2.4,Cluster 2
376,1.41,0.96,1.94,0.64,1.82,2.8,3.19,2.71,1.6,2.54,Cluster 2
377,0.7,2.96,0.43,0.5,1.12,1.92,3.17,2.94,1.31,3.26,Cluster 2
378,0.77,0.96,0.29,0.54,0.78,1.22,3.18,2.94,1.38,2.64,Cluster 0
379,0.48,1.68,0.27,0.51,1.3,2.06,3.18,2.66,1.92,2.78,Cluster 2
380,0.67,1.48,0.51,0.24,0.54,1.06,3.17,3.02,1.5,3.2,Cluster 0
381,0.64,1.6,0.3,0.17,0.54,1.3,3.17,2.99,1.76,3.22,Cluster 0
382,0.86,1.6,0.19,0.87,1.12,1.66,3.18,2.95,1.5,2.7,Cluster 0
383,0.83,2.0,1.82,0.33,0.66,1.24,3.18,2.87,1.57,2.8,Cluster 1
384,0.64,1.2,0.14,0.22,0.1,0.38,3.17,2.85,1.15,3.2,Cluster 0
385,0.8,1.48,2.16,0.69,1.38,2.56,3.19,2.66,1.41,2.42,Cluster 2
386,0.8,2.0,1.22,0.54,1.44,2.46,3.18,2.82,1.44,2.46,Cluster 2
387,1.06,0.84,0.16,0.61,1.04,1.98,3.18,2.78,1.44,2.5,Cluster 0
388,0.8,1.48,0.42,0.57,0.64,1.76,3.18,2.7,1.7,2.98,Cluster 0
389,0.64,1.76,0.16,0.65,0.64,1.48,3.18,2.74,1.02,2.98,Cluster 0
390,0.8,1.96,1.44,0.5,0.82,2.46,3.19,2.97,1.57,2.66,Cluster 2
391,0.83,1.24,0.58,0.29,0.58,1.34,3.17,2.66,1.5,3.22,Cluster 0
392,0.96,1.96,1.31,0.63,1.3,2.5,3.19,3.13,1.86,2.58,Cluster 2
393,0.86,0.96,0.19,0.5,0.54,1.36,3.18,2.91,1.34,2.9,Cluster 0
394,1.76,0.56,1.33,0.37,0.94,2.18,3.18,3.14,1.63,3.34,Cluster 1
395,0.74,1.4,1.65,0.48,1.44,1.86,3.19,2.87,1.5,2.46,Cluster 1
396,1.15,1.4,1.38,0.43,0.98,1.66,3.18,2.66,1.02,3.3,Cluster 1
397,1.57,1.96,1.12,0.49,0.78,1.98,3.18,2.86,1.06,2.66,Cluster 1
398,0.74,1.16,0.5,0.26,0.5,1.18,3.17,2.89,1.63,2.98,Cluster 0
399,0.77,1.64,1.39,0.41,0.78,1.98,3.18,2.86,1.98,2.64,Cluster 1
400,0.9,1.04,0.27,0.48,0.9,1.74,3.18,3.05,1.6,2.86,Cluster 0
401,0.77,1.12,1.84,0.57,0.9,2.18,3.19,2.94,1.44,2.54,Cluster 1
402,0.8,1.16,0.18,0.78,1.04,1.66,3.18,2.97,1.86,2.94,Cluster 0
403,0.45,1.52,0.16,0.47,0.58,1.08,3.17,2.7,1.73,3.04,Cluster 0
404,0.96,1.96,1.97,0.56,1.34,1.92,3.19,2.74,1.82,2.72,Cluster 1
405,1.06,1.76,1.42,0.63,1.38,2.18,3.18,2.75,1.54,2.56,Cluster 2
406,0.64,1.08,1.74,0.43,0.78,1.74,3.18,2.77,1.41,2.8,Cluster 1
407,0.8,1.12,2.3,0.63,1.46,2.74,3.19,2.78,1.22,2.4,Cluster 2
408,1.18,2.8,1.94,0.45,0.56,2.1,3.19,2.66,2.34,2.48,Cluster 1
409,0.64,1.72,2.4,0.61,1.6,2.46,3.2,2.91,2.53,2.34,Cluster 2
410,0.7,1.24,1.01,0.33,1.1,1.74,3.18,2.74,1.57,2.88,Cluster 1
411,0.96,1.88,0.22,0.56,1.34,2.5,3.18,2.83,1.44,2.54,Cluster 2
412,0.74,2.72,1.76,0.54,0.98,1.78,3.19,2.66,1.22,2.34,Cluster 1
413,1.44,2.6,1.55,0.91,0.3,2.12,3.18,2.7,1.54,2.5,Cluster 1
414,0.9,1.24,0.34,0.53,0.74,2.78,3.18,2.87,2.05,2.62,Cluster 2
415,0.58,1.24,2.77,0.63,0.86,2.62,3.2,2.78,1.47,2.4,Cluster 2
416,0.77,1.8,0.61,0.31,0.56,1.7,3.18,3.15,1.57,2.98,Cluster 0
417,0.86,1.48,0.14,0.29,0.3,0.66,3.16,2.93,1.06,3.5,Cluster 0
418,0.64,1.24,0.26,0.43,0.9,1.54,3.17,2.89,1.25,3.2,Cluster 0
419,1.39,1.52,1.47,0.66,1.76,3.24,3.19,2.87,1.73,2.42,Cluster 2
420,0.8,1.56,3.03,0.43,1.12,2.06,3.2,2.64,1.5,2.4,Cluster 1
421,1.12,1.0,0.9,0.37,0.62,1.6,3.18,2.61,2.11,2.74,Cluster 1
422,0.51,2.92,0.16,1.58,1.54,2.0,3.18,2.74,0.96,2.46,Cluster 2
423,0.64,1.6,0.24,0.42,0.94,1.42,3.18,3.07,1.6,3.04,Cluster 0
424,0.64,1.6,1.23,0.37,1.36,2.34,3.18,2.86,0.86,3.04,Cluster 2
425,1.97,0.4,0.22,0.78,0.66,2.06,3.18,2.85,1.54,2.58,Cluster 0
426,1.02,2.48,1.7,0.41,1.5,2.04,3.19,2.78,1.41,2.38,Cluster 2
427,0.7,1.28,0.35,0.32,0.96,1.22,3.17,2.9,1.89,3.18,Cluster 0
428,0.9,1.32,0.19,0.45,0.42,1.3,3.17,2.73,1.25,3.12,Cluster 0
429,1.02,1.2,0.3,0.38,1.1,1.9,3.17,2.93,1.34,3.42,Cluster 0
430,0.42,0.88,2.03,0.66,0.64,2.44,3.18,2.95,1.34,3.12,Cluster 2
431,0.99,1.36,1.09,0.67,1.36,2.86,3.18,2.96,1.79,2.74,Cluster 2
432,0.74,2.0,1.66,0.49,1.62,1.76,3.18,2.54,1.47,2.42,Cluster 1
433,1.31,2.64,1.73,0.58,2.06,2.58,3.19,2.71,1.47,2.32,Cluster 2
434,0.83,2.32,1.26,0.47,1.66,2.4,3.19,2.73,1.22,2.4,Cluster 2
435,1.12,1.44,0.26,0.43,0.3,1.66,3.18,2.89,1.54,2.94,Cluster 0
436,0.54,1.36,0.32,0.46,1.02,1.48,3.17,2.88,1.44,3.44,Cluster 0
437,1.06,1.08,0.13,2.11,0.32,2.5,3.18,2.78,1.98,2.5,Cluster 2
438,0.48,1.56,0.29,0.49,0.56,2.12,3.18,3.13,1.5,2.66,Cluster 0
439,0.8,0.72,0.22,0.64,0.34,1.82,3.18,2.77,1.34,2.54,Cluster 0
440,0.93,1.28,0.93,0.46,0.42,1.5,3.18,2.7,1.86,2.98,Cluster 0
441,0.77,1.2,0.19,0.42,0.3,1.26,3.17,2.63,1.15,3.34,Cluster 0
442,0.77,1.4,0.19,0.43,0.58,2.22,3.17,2.75,1.54,2.82,Cluster 2
443,1.06,1.36,0.32,0.5,1.62,2.28,3.17,2.89,1.7,3.54,Cluster 2
444,0.72,0.96,1.57,0.62,1.58,1.86,3.18,2.82,1.25,2.72,Cluster 1
445,1.25,0.96,0.43,0.19,0.58,1.06,3.17,2.7,1.18,3.06,Cluster 0
446,0.7,2.88,1.09,0.48,0.88,2.24,3.18,2.78,1.15,2.46,Cluster 2
447,0.74,1.12,1.54,0.29,0.7,1.62,3.18,2.91,1.22,3.02,Cluster 1
448,0.61,1.04,1.42,0.45,1.12,2.42,3.18,2.82,1.47,2.64,Cluster 2
449,0.86,1.0,0.93,0.43,1.38,2.06,3.18,2.91,1.22,2.5,Cluster 2
450,0.42,1.08,0.42,0.4,0.86,1.02,3.18,2.86,2.43,3.02,Cluster 0
451,0.54,1.08,0.74,0.57,0.62,1.3,3.18,2.74,1.5,2.54,Cluster 0
452,1.09,0.92,1.01,0.45,0.98,1.9,3.18,2.83,2.08,2.66,Cluster 1
453,0.67,1.36,1.9,0.49,0.98,2.84,3.18,2.74,1.6,2.56,Cluster 2
454,1.22,0.92,1.04,0.57,0.48,1.36,3.18,2.75,1.76,2.98,Cluster 0
455,0.96,1.68,1.18,0.29,1.36,2.34,3.18,2.7,1.02,3.04,Cluster 2
456,0.96,0.68,0.45,0.46,0.64,1.66,3.18,2.67,1.47,2.4,Cluster 0
457,0.9,1.04,0.3,0.56,0.32,1.14,3.18,2.8,1.22,2.5,Cluster 0
458,0.9,1.04,2.0,0.53,1.28,2.38,3.19,2.75,1.66,2.4,Cluster 2
459,0.7,1.96,0.61,0.48,0.7,1.4,3.18,2.75,1.25,2.8,Cluster 0
460,0.67,1.2,0.9,0.5,1.14,2.14,3.18,3.2,1.31,2.82,Cluster 2
461,0.99,1.24,0.15,0.24,1.38,1.98,3.17,2.61,1.02,3.06,Cluster 0
462,0.83,1.32,0.24,0.54,1.18,2.22,3.18,2.78,1.41,2.8,Cluster 2
463,0.99,1.24,1.58,0.46,0.26,2.34,3.18,3.07,1.76,3.04,Cluster 1
464,1.78,1.04,0.72,0.61,0.46,1.68,3.18,2.88,1.47,2.42,Cluster 0
465,0.74,1.32,2.05,0.64,1.18,2.26,3.19,3.04,1.34,2.62,Cluster 2
466,1.55,1.16,0.66,0.3,0.5,1.34,3.18,2.67,1.22,3.3,Cluster 0
467,0.7,1.36,0.29,0.65,0.78,1.38,3.18,3.38,1.82,2.74,Cluster 0
468,1.31,0.96,0.86,0.4,0.88,1.54,3.17,2.78,1.41,3.44,Cluster 1
469,1.09,1.4,0.29,0.48,0.22,2.22,3.17,2.77,1.31,3.22,Cluster 0
470,0.74,1.08,2.26,0.38,1.2,2.22,3.2,2.42,1.38,2.58,Cluster 2
471,0.74,1.28,0.3,0.43,1.06,1.58,3.17,2.95,1.7,3.14,Cluster 0
472,0.58,1.48,0.21,0.46,0.4,1.28,3.17,2.72,1.95,3.22,Cluster 0
473,0.72,1.52,0.19,0.85,1.26,1.74,3.18,2.94,1.28,2.74,Cluster 0
474,0.96,1.08,1.86,0.32,0.58,1.3,3.18,2.63,1.22,3.12,Cluster 1
475,1.38,1.12,1.92,0.64,0.62,2.32,3.19,2.94,1.76,2.48,Cluster 1
476,0.64,1.16,1.89,0.4,0.56,1.24,3.18,2.82,1.09,3.18,Cluster 1
477,0.8,1.12,1.16,0.32,0.38,1.04,3.18,2.62,1.18,3.06,Cluster 0
478,0.83,0.84,2.59,0.85,1.1,2.62,3.19,2.69,1.6,2.62,Cluster 2
479,0.77,1.16,1.36,0.42,3.3,2.78,3.18,2.58,1.22,2.94,Cluster 2
480,0.64,0.6,1.06,0.53,0.7,1.5,3.18,2.66,1.86,2.64,Cluster 1
481,0.42,1.36,1.49,0.71,1.06,1.68,3.19,2.86,1.25,2.56,Cluster 1
482,1.38,1.28,0.22,0.55,0.26,0.9,3.18,2.74,1.31,3.04,Cluster 0
483,0.58,2.96,1.9,0.53,1.44,2.24,3.19,3.18,2.18,2.7,Cluster 2
484,0.83,1.72,1.88,0.51,1.42,2.64,3.19,2.9,1.76,2.54,Cluster 2
485,0.7,1.2,1.42,0.27,0.46,1.58,3.18,2.66,1.09,2.8,Cluster 1
486,0.96,1.28,0.21,0.62,0.72,2.44,3.18,2.94,1.38,2.7,Cluster 2
487,0.7,1.0,0.18,0.57,2.58,2.34,3.17,3.06,1.98,2.96,Cluster 2
488,1.18,1.32,0.62,0.31,1.06,1.74,3.17,2.91,1.25,3.38,Cluster 1
489,0.99,0.92,0.32,0.79,0.78,1.78,3.18,2.77,1.98,2.62,Cluster 0
490,1.38,1.12,1.8,0.37,0.82,1.16,3.18,2.69,1.22,3.3,Cluster 1
491,1.18,1.28,0.26,0.33,1.1,1.36,3.17,3.03,1.76,3.38,Cluster 0
492,0.7,1.16,0.14,0.39,0.9,1.18,3.17,2.79,1.15,2.96,Cluster 0
493,1.09,2.64,2.54,0.53,0.7,2.18,3.19,2.79,1.6,2.34,Cluster 2
494,0.93,2.2,0.35,0.57,0.46,1.58,3.18,2.78,2.21,2.74,Cluster 0
495,0.77,1.36,0.18,0.39,1.3,2.1,3.16,2.95,1.02,3.5,Cluster 2
496,0.51,0.88,0.26,0.48,0.96,1.42,3.17,2.88,1.02,3.04,Cluster 0
497,0.61,1.24,2.32,0.51,1.04,2.58,3.19,2.75,1.6,2.46,Cluster 2
498,0.77,1.16,2.13,0.45,1.3,1.74,3.18,2.96,1.47,2.94,Cluster 1
499,0.9,1.12,0.67,0.5,1.38,2.1,3.18,2.98,1.41,2.86,Cluster 2
500,0.96,2.0,1.94,0.51,1.02,1.7,3.19,2.7,1.7,2.38,Cluster 1
501,2.72,1.96,1.39,0.32,1.06,2.46,3.18,2.86,1.15,2.86,Cluster 2
502,0.9,1.08,2.48,0.41,0.82,1.78,3.18,2.83,1.41,3.46,Cluster 1
503,0.64,1.28,0.48,0.35,0.7,1.58,3.18,3.01,2.18,2.98,Cluster 0
504,0.99,1.04,0.35,0.58,0.74,2.22,3.18,2.99,1.5,2.78,Cluster 2
505,2.5,2.0,0.24,0.51,0.8,1.78,3.17,2.89,1.54,3.12,Cluster 0
506,0.86,1.04,1.31,0.48,0.56,1.78,3.18,3.05,2.05,2.62,Cluster 1
507,0.7,1.0,1.78,0.64,2.98,2.36,3.18,2.74,1.15,2.5,Cluster 2
508,0.86,0.76,1.06,0.51,2.62,2.34,3.18,2.81,1.09,2.7,Cluster 2
509,1.12,2.04,0.19,0.33,0.26,1.36,3.17,3.07,1.34,3.18,Cluster 0
510,1.22,1.16,2.18,0.55,1.38,2.52,3.19,2.66,1.92,2.54,Cluster 2
511,0.96,1.2,0.19,0.33,0.66,1.24,3.16,2.94,1.28,3.62,Cluster 0
512,0.67,1.24,0.96,0.53,0.78,1.44,3.18,2.9,1.6,2.88,Cluster 1
513,0.77,1.88,2.43,0.65,1.06,3.12,3.2,2.69,2.11,2.4,Cluster 2
514,0.86,1.2,0.35,0.42,0.96,1.72,3.17,2.57,0.96,3.06,Cluster 0
515,0.9,1.0,2.84,0.5,1.28,2.14,3.2,2.97,1.54,2.54,Cluster 1
516,1.31,0.0,0.26,0.72,0.96,1.16,3.18,2.9,2.14,2.88,Cluster 0
517,0.64,1.04,2.03,0.53,1.6,1.9,3.18,2.9,1.12,2.88,Cluster 1
518,0.96,1.28,0.22,0.37,0.82,2.14,3.18,2.62,1.34,2.8,Cluster 2
519,0.77,1.08,0.3,0.55,1.06,2.26,3.18,3.23,1.73,2.66,Cluster 2
520,0.51,1.36,0.13,0.33,0.7,1.02,3.18,2.89,1.63,2.7,Cluster 0
521,0.86,1.04,1.89,0.61,1.46,2.3,3.19,2.77,1.92,2.62,Cluster 2
522,0.51,1.08,2.48,0.57,0.66,1.8,3.19,2.58,1.38,2.32,Cluster 1
523,0.74,0.96,0.26,0.42,0.86,1.54,3.17,2.86,1.63,3.04,Cluster 0
524,0.7,1.64,2.46,0.57,1.46,2.54,3.2,2.95,1.89,2.38,Cluster 2
525,0.86,1.36,1.68,0.49,1.3,3.04,3.19,2.7,1.31,2.78,Cluster 2
526,0.7,1.12,1.23,0.49,1.52,2.34,3.18,2.78,1.76,2.66,Cluster 2
527,0.77,1.4,0.16,0.59,0.94,1.94,3.18,3.06,1.41,2.66,Cluster 0
528,1.34,1.64,0.37,0.39,0.58,1.94,3.18,2.72,1.66,2.94,Cluster 0
529,0.53,0.96,0.18,0.58,0.66,1.4,3.18,2.95,1.5,2.42,Cluster 0
530,0.86,0.6,0.24,0.64,0.94,1.7,3.18,2.78,1.44,2.34,Cluster 0
531,1.12,0.16,0.19,0.69,0.62,1.44,3.18,2.9,1.73,2.46,Cluster 0
532,0.83,1.2,1.25,0.56,1.04,2.02,3.18,2.66,1.86,2.66,Cluster 1
533,0.8,1.08,1.45,0.45,0.98,1.7,3.18,2.9,1.09,3.02,Cluster 1
534,0.9,0.88,1.84,0.41,0.72,2.0,3.18,2.66,1.06,2.82,Cluster 1
535,0.58,1.12,1.57,0.45,0.78,1.5,3.18,2.77,1.44,2.9,Cluster 1
536,0.74,2.24,2.63,0.72,1.4,3.76,3.2,2.75,1.63,2.48,Cluster 2
537,0.64,1.04,2.35,0.51,1.42,1.66,3.19,2.66,2.21,2.5,Cluster 1
538,0.61,1.84,0.61,0.47,2.18,2.5,3.18,2.83,1.92,2.98,Cluster 2
539,0.96,1.16,0.36,0.42,0.22,2.8,3.18,2.83,1.98,2.64,Cluster 2
540,0.8,1.36,0.75,0.35,0.9,1.78,3.18,2.86,1.22,2.82,Cluster 1
541,1.44,0.28,0.18,0.34,0.26,1.74,3.17,2.64,0.9,2.88,Cluster 0
542,0.83,1.08,0.24,0.46,0.5,1.52,3.18,2.98,1.98,2.8,Cluster 0
543,0.7,1.56,0.96,0.4,1.18,1.88,3.17,2.77,1.06,3.34,Cluster 1
544,0.99,1.04,1.17,0.57,0.98,2.1,3.19,2.74,1.38,2.4,Cluster 1
545,0.86,2.96,0.24,0.41,0.72,1.62,3.18,2.98,1.54,2.98,Cluster 0
546,0.61,1.64,0.18,0.46,1.02,1.9,3.17,2.59,1.34,3.04,Cluster 0
547,0.96,1.48,0.21,0.58,0.42,1.28,3.18,2.95,1.98,2.66,Cluster 0
548,0.96,1.92,1.18,0.61,0.9,1.98,3.18,2.82,1.7,2.62,Cluster 1
549,0.96,1.32,0.34,0.48,0.82,1.7,3.17,2.95,1.34,3.34,Cluster 0
550,1.23,1.0,0.59,0.35,1.02,1.62,3.18,2.85,2.02,2.98,Cluster 0
551,1.06,1.04,2.5,0.56,1.78,2.8,3.2,2.72,2.18,2.54,Cluster 2
552,0.9,0.88,1.17,0.47,0.7,2.1,3.18,3.06,2.05,2.62,Cluster 1
553,1.63,1.2,0.67,0.75,1.02,2.2,3.18,2.85,1.34,2.42,Cluster 2
554,0.67,2.4,0.34,0.53,1.26,2.2,3.18,2.71,1.73,2.7,Cluster 2
555,0.7,0.88,2.66,0.5,1.04,1.46,3.19,2.88,1.54,2.4,Cluster 1
556,0.58,1.48,0.24,0.49,0.42,1.38,3.18,2.82,1.6,2.88,Cluster 0
557,0.96,0.88,0.22,0.53,0.42,1.8,3.18,2.74,2.46,2.78,Cluster 0
558,0.96,1.0,0.3,0.33,0.88,1.58,3.17,2.98,2.11,3.34,Cluster 0
559,1.06,0.8,0.29,0.35,1.3,2.12,3.18,3.03,1.7,2.94,Cluster 2
560,0.74,0.8,1.82,0.5,1.2,1.74,3.18,2.63,1.63,2.58,Cluster 1
561,0.93,1.6,3.11,0.49,0.96,2.08,3.2,2.61,1.5,2.38,Cluster 1
562,0.9,0.88,1.94,0.55,1.12,2.18,3.18,2.85,1.47,2.7,Cluster 1
563,0.7,1.52,1.46,0.5,0.94,1.7,3.18,2.64,0.96,2.94,Cluster 1
564,0.77,1.56,0.24,0.62,0.98,2.1,3.18,2.86,1.66,2.48,Cluster 2
565,0.99,1.08,1.41,0.24,1.52,2.08,3.18,2.74,1.22,2.94,Cluster 2
566,0.74,1.68,2.89,0.57,0.94,1.92,3.2,2.86,1.34,2.34,Cluster 1
